id,pair,direction,open_time,close_time,position_open_price,position_close_price,runup,drawdown,net_profit,lowest_price,highest_price,rev_direction
223,QTUMUSDT,short,2023-11-26 23:05:08,2023-11-26 23:07:06,3.204,3.207,-0.08,-0.17,-0.17,3.204,3.2068836,long
224,XVGUSDT,long,2023-11-26 22:59:08,2023-11-26 23:08:05,0.003579,0.003559,-0.11,-0.64,-0.64,0.0035589576,0.0035779263000000005,short
225,QNTUSDT,short,2023-11-26 23:04:07,2023-11-26 23:10:06,101.23,100.89,0.37,-0.07,0.26,100.774465,101.21987700000001,long
226,SNXUSDT,short,2023-11-26 23:06:07,2023-11-26 23:11:05,3.442,3.441,0.09,-0.2,-0.05,3.4361486,3.4461304000000004,long
227,ZRXUSDT,short,2023-11-26 23:08:07,2023-11-26 23:11:05,0.4011,0.4011,0.04,-0.15,-0.08,0.40061868,0.40138077,long
228,STEEMUSDT,short,2023-11-26 23:10:08,2023-11-26 23:12:05,0.2664,0.2674,-0.04,-0.72,-0.46,0.26629344000000005,0.26810496,long
229,FRONTUSDT,short,2023-11-26 23:03:07,2023-11-26 23:13:05,0.3369,0.3359,0.66,-0.08,0.22,0.33440694,0.3369,long
230,WLDUSDT,short,2023-11-26 23:03:07,2023-11-26 23:13:05,2.6733,2.6695,0.38,-0.15,0.06,2.6610028199999998,2.6751713099999996,long
231,NEARUSDT,short,2023-11-26 23:04:06,2023-11-26 23:13:05,1.827,1.823,0.36,-0.13,0.14,1.8189612,1.8279134999999997,long
232,CAKEUSDT,short,2023-11-26 23:07:08,2023-11-26 23:13:05,2.3337,2.329,0.41,-0.09,0.12,2.3222648699999997,2.33393337,long
233,TWTUSDT,short,2023-11-26 23:03:07,2023-11-26 23:14:05,1.1904,1.1858,0.52,-0.09,0.31,1.1832576,1.1905190399999999,long
234,AAVEUSDT,short,2023-11-26 23:05:08,2023-11-26 23:14:05,98.23,97.99,0.33,-0.11,0.16,97.827257,98.259469,long
235,QTUMUSDT,short,2023-11-26 23:08:07,2023-11-26 23:14:05,3.201,3.208,-0.08,-0.33,-0.3,3.201,3.2090025,long
236,THETAUSDT,short,2023-11-26 23:10:08,2023-11-26 23:14:05,0.9811,0.9821,-0.01,-0.23,-0.18,0.9804132299999999,0.98257165,long
237,ALGOUSDT,short,2023-11-26 23:03:08,2023-11-26 23:19:05,0.1367,0.1364,0.58,-0.08,0.14,0.13579777999999998,0.1367,long
238,SFPUSDT,short,2023-11-26 23:08:07,2023-11-26 23:19:05,0.6533,0.6541,0.12,-0.22,-0.2,0.6519934,0.6542146200000001,long
239,CELRUSDT,short,2023-11-26 23:17:07,2023-11-26 23:19:05,0.01494,0.01499,-0.15,-0.41,-0.41,0.014950458,0.014989302000000001,long
240,KSMUSDT,short,2023-11-26 23:05:08,2023-11-26 23:20:05,25.15,25.07,0.72,-0.12,0.24,24.9488,25.160059999999998,long
241,VETUSDT,short,2023-11-26 23:18:07,2023-11-26 23:20:05,0.02236,0.02242,-0.26,-0.39,-0.35,0.022400248,0.022429316000000005,long
242,OMGUSDT,long,2023-11-26 23:15:07,2023-11-26 23:22:06,0.6479,0.6465,-0.1,-0.56,-0.3,0.64479008,0.6477704200000001,short
243,USDCUSDT,long,2023-11-26 23:22:08,2023-11-26 23:25:05,0.99898,0.99897,-0.08,-0.08,-0.08,0.99898,0.99898,short
244,COMBOUSDT,long,2023-11-26 23:21:07,2023-11-26 23:27:05,0.6832,0.6834,0.04,-0.27,-0.05,0.68190192,0.68401984,short
245,FLOWUSDT,long,2023-11-26 23:26:07,2023-11-26 23:27:05,0.682,0.681,0.07,-0.23,-0.23,0.680977,0.683023,short
246,GALAUSDT,long,2023-11-26 23:23:06,2023-11-26 23:28:05,0.02695,0.02693,0.18,-0.23,-0.15,0.026909575,0.02702007,short
247,ATOMUSDT,long,2023-11-26 23:26:07,2023-11-26 23:28:05,9.958,9.935,-0.08,-0.41,-0.31,9.9251386,9.958,short
248,OGNUSDT,long,2023-11-26 23:27:07,2023-11-26 23:32:05,0.1341,0.1339,0.07,-0.23,-0.23,0.13389885,0.13430115,short
249,DYDXUSDT,long,2023-11-26 23:31:07,2023-11-26 23:34:05,3.431,3.433,0.21,-0.11,-0.02,3.4299707,3.4409498999999997,short
250,UNFIUSDT,long,2023-11-26 23:34:07,2023-11-26 23:36:05,14.227,14.184,0.1,-0.55,-0.38,14.1601331,14.2526086,short
251,DOGEUSDT,long,2023-11-26 23:29:07,2023-11-26 23:37:05,0.07821,0.07861,0.82,-0.12,0.43,0.07817871600000001,0.07891389,short
252,XVSUSDT,long,2023-11-26 23:35:07,2023-11-26 23:37:05,6.966,6.939,-0.09,-0.61,-0.47,6.9290802000000005,6.965303400000001,short
253,XVGUSDT,long,2023-11-26 23:26:07,2023-11-26 23:42:06,0.003587,0.003609,1.04,-0.22,0.53,0.0035819782,0.0036271744,short
254,TWTUSDT,long,2023-11-26 23:34:07,2023-11-26 23:42:06,1.1945,1.1952,0.09,-0.14,-0.02,1.1937832999999998,1.19653065,short
255,TRUUSDT,long,2023-11-26 23:41:07,2023-11-26 23:42:06,0.06029,0.06019,-0.1,-0.3,-0.25,0.060157362000000006,0.06027794200000001,short
256,FETUSDT,long,2023-11-26 23:43:07,2023-11-26 23:45:05,0.5367,0.5364,-0.02,-0.14,-0.14,0.5363779799999999,0.5370220199999999,short
257,UNFIUSDT,long,2023-11-26 23:41:07,2023-11-26 23:46:05,14.274,14.356,4.22,0.08,0.49,14.2968384,14.887781999999998,short
258,ENSUSDT,long,2023-11-26 23:44:07,2023-11-26 23:46:05,8.694,8.678,-0.02,-0.28,-0.26,8.676612,8.699216400000001,short
259,STMXUSDT,long,2023-11-26 23:37:08,2023-11-26 23:49:05,0.00816,0.00815,0.17,-0.2,-0.2,0.008150208,0.0081804,short
260,DOTUSDT,long,2023-11-26 23:46:07,2023-11-26 23:49:05,5.324,5.323,0.09,-0.16,-0.1,5.3197408,5.3330508,short
261,ARUSDT,long,2023-11-26 23:48:08,2023-11-26 23:49:05,7.718,7.716,-0.05,-0.11,-0.11,7.7156846,7.7203154,short
262,OPUSDT,long,2023-11-26 23:48:08,2023-11-26 23:49:05,1.8173,1.8164,-0.07,-0.18,-0.13,1.8154827,1.81748173,short
263,DARUSDT,long,2023-11-26 23:21:07,2023-11-26 23:50:05,0.128,0.1288,0.78,-0.16,0.54,0.1278976,0.1291008,short
264,INJUSDT,long,2023-11-26 23:43:07,2023-11-26 23:50:05,17.1,17.156,0.68,-0.1,0.25,17.096580000000003,17.229960000000002,short
